full_text,translated_text
Meski kita disarankan untuk mengonsumsi asupan bergizi seimbang namun seringkali godaan makanan manis dan berlemak sulit ditolak. https://t.co/rmnnKY0tqb,"even though we are advised to consume a balanced nutritional intake, often the temptation of sweet and fatty foods is hard to resist."
@lalalandiann Yup. Kurangi makanan yang mengandung gula tinggi meski bukan yang manis.,yup. reduce foods that contain high sugar even if they are not sweet.
Bagaimana kalau teh dan makanan manis Nona?,"how about some tea and sweets, miss?"
@outer_cosmo Engga begitu. Tapi kadang butuh makanan manis.,not really. but sometimes you need something sweet.
Makanan makin manis aktifitas kian menipis kesehatan jadi kritis.,"food becomes sweeter, activity decreases and health becomes critical."
@kafirmasi Emang ngeri cuy diabetes aku yg penyuka makanan manis sudah mulai mengurangi dengan intermitteng fasting 18:6,"it's really scary, man, because i'm a diabetic and i like sweet foods, i've started to reduce it by doing intermittent fasting 18:6."
@kafirmasi takut banget sama diabetes sampai saat ini masih ngejaga gula darah tetap rendah (maksudnya dibawah batas normal) biar nyiapin 1 hari buat bisa cheating day sama makanan manis,"i'm really afraid of diabetes, so until now i'm still keeping my blood sugar low (meaning below normal limits) so i can prepare 1 day for a cheat day with sweet foods"
@Fid0Dild0 Pacar gue obsessed dengan ponut padahal dia biasanya benci makanan manis,my boyfriend is obsessed with ponut even though he usually hates sweet food.
Makanan di solo banyak yang rasanya aneh dan ga jarang rasanya hambar (kalo manis udh pada ngeh lah ya),"many of the foods in solo have strange tastes and are often bland (if it's sweet, everyone will notice)."
@ghifarv Saking tak terkontrolnya konsumsi makanan dan minuman berpemanis sehingga asupan gula berlebih. Manis di awal derita di akhir https://t.co/OHoUa15EJj https://t.co/1fn4UkO818,"due to the uncontrolled consumption of sweetened foods and drinks, the sugar intake is excessive. sweet at the beginning, suffering at the end"
@prophetofzorck SETUJUUUUU. as a person yang lumayan care dengan kandungan gula dalam sebuah makanan topping martabak manis yang brutal tu ga baik samsek!!! less is better juga kok (((YAA WALAUPUN LESS DISINI TU YANG PORSINYA NORMAL YA))),"agree. as a person who is quite concerned with the sugar content in a sweet martabak topping, that's brutal, that's not good, man!!! less is better too (((yes, although less here is the portion with normal portions)))"
@Divergensi Sama aja telur tuh bukan makanan manis kau campurkan sama selai jadi kontras,"it's the same as eggs, they're not sweet food, you mix them with jam to create a contrast."
@baryoism Karena pisang itu kan ada banana dan plantains kayanya di bahasa kita cuma pisang gitu ya. Plantains ini yang lebih starchy dan ga manis yang di budaya negara lain juga dijadiin makanan asin ya. Ini harusnya pake plantains ya kak?,"because bananas have bananas and plantains, i think in our language it's just bananas. plantains are starchier and not sweet, which in other countries' cultures are also made into savory foods. should this use plantains, sis?"
